route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX4,GH_O9-Weekday,GH_O9-Weekday-030000_BX44A_101,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-033500_BX44A_101,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4A,GH_O9-Weekday,GH_O9-Weekday-036900_BX44A_101,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-044200_BX44A_106,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4A,GH_O9-Weekday,GH_O9-Weekday-048900_BX44A_106,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4A,GH_O9-Weekday,GH_O9-Weekday-056700_BX44A_102,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4A,GH_O9-Weekday,GH_O9-Weekday-060600_BX44A_106,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-066000_BX44A_106,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-071800_BX44A_102,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-076800_BX44A_102,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4A,GH_O9-Weekday,GH_O9-Weekday-082000_BX44A_121,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-087600_BX44A_121,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4A,GH_O9-Weekday,GH_O9-Weekday-092600_BX44A_121,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-099800_BX44A_121,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4A,GH_O9-Weekday,GH_O9-Weekday-106200_BX44A_118,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-111700_BX44A_118,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-117400_BX44A_118,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-122600_BX44A_118,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-127400_BX44A_122,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-132100_BX44A_122,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-136000_BX44A_123,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4,GH_O9-Weekday,GH_O9-Weekday-140300_BX44A_123,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-144000_BX44A_123,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4,GH_O9-Weekday,GH_O9-Weekday-148300_BX44A_123,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-031500_BX44A_102,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-037000_BX44A_103,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-046000_BX44A_103,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-062200_BX44A_109,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-067200_BX44A_109,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4A,GH_O9-Weekday,GH_O9-Weekday-072600_BX44A_109,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-078000_BX44A_109,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-083500_BX44A_102,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-088800_BX44A_102,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-094100_BX402_43,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-100800_BX402_43,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-107500_BX44A_120,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-112600_BX44A_120,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4A,GH_O9-Weekday,GH_O9-Weekday-118200_BX44A_120,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-123600_BX44A_120,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4A,GH_O9-Weekday,GH_O9-Weekday-128500_BX44A_124,THE HUB via MTROPLTN OVAL via WESTCHSTER,1,BX04A0060
BX4,GH_O9-Weekday,GH_O9-Weekday-133600_BX44A_124,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-138000_BX44A_124,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4,GH_O9-Weekday,GH_O9-Weekday-142300_BX44A_124,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4,GH_O9-Weekday,GH_O9-Weekday-146000_BX44A_124,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4,GH_O9-Weekday,GH_O9-Weekday-150300_BX44A_124,WESTCHTR SQ via WESTCHTR AV,0,BX040080
BX4A,GH_O9-Weekday,GH_O9-Weekday-038500_BX44A_105,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-043200_BX44A_105,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
BX4A,GH_O9-Weekday,GH_O9-Weekday-048600_BX44A_105,WESTCHESTER AV via METROPOLITAN OVAL,0,BX04A0061
BX4,GH_O9-Weekday,GH_O9-Weekday-055000_BX44A_105,THE HUB 3 AV via WESTCHESTER AV,1,BX040079
