service_id,date,exception_type
7955,20191004,1
7959,20191005,1
7958,20191006,1
7960,20191007,1
7961,20191008,1
7961,20191009,1
7961,20191010,1
7965,20191011,1
7966,20191012,1
7967,20191013,1
7968,20191014,1
7961,20191015,1
7961,20191016,1
7961,20191017,1
7962,20191018,1
7963,20191019,1
7964,20191020,1
7968,20191021,1
7961,20191022,1
7961,20191023,1
7961,20191024,1
7962,20191025,1
7856,20191026,1
7943,20191027,1
7960,20191028,1
7961,20191029,1
7961,20191030,1
7961,20191031,1
7962,20191101,1
7856,20191102,1
7943,20191103,1
7960,20191104,1
7961,20191105,1
7961,20191106,1
7961,20191107,1
7962,20191108,1
7856,20191109,1
7943,20191110,1
7960,20191111,1
7961,20191112,1
7961,20191113,1
7961,20191114,1
7962,20191115,1
7856,20191116,1
7943,20191117,1
7960,20191118,1
7961,20191119,1
7961,20191120,1
7961,20191121,1
7962,20191122,1
7856,20191123,1
7943,20191124,1
7960,20191125,1
7961,20191126,1
7961,20191127,1
7961,20191128,1
7962,20191129,1
7856,20191130,1
7943,20191201,1
7960,20191202,1
7961,20191203,1
7961,20191204,1
7961,20191205,1
7962,20191206,1
7856,20191207,1
7943,20191208,1
7960,20191209,1
7961,20191210,1
7961,20191211,1
7961,20191212,1
7962,20191213,1
7856,20191214,1
7943,20191215,1
7960,20191216,1
7961,20191217,1
7961,20191218,1
7961,20191219,1
7962,20191220,1
7856,20191221,1
7943,20191222,1
7960,20191223,1
7961,20191224,1
7961,20191225,1
7961,20191226,1
7962,20191227,1
7856,20191228,1
7943,20191229,1
7960,20191230,1
7961,20191231,1
7961,20200101,1
7961,20200102,1
7962,20200103,1
7856,20200104,1
7943,20200105,1
7960,20200106,1
7961,20200107,1
7961,20200108,1
7961,20200109,1
7962,20200110,1
7856,20200111,1
7943,20200112,1
7960,20200113,1
7961,20200114,1
7961,20200115,1
7961,20200116,1
7962,20200117,1
7856,20200118,1
7943,20200119,1
7960,20200120,1
7961,20200121,1
7961,20200122,1
7961,20200123,1
7962,20200124,1
7856,20200125,1
7943,20200126,1
7960,20200127,1
7961,20200128,1
7961,20200129,1
7961,20200130,1
7962,20200131,1
7856,20200201,1
7943,20200202,1
7960,20200203,1
7961,20200204,1
7961,20200205,1
7961,20200206,1
7962,20200207,1
7856,20200208,1
7943,20200209,1
7960,20200210,1
7961,20200211,1
7961,20200212,1
7961,20200213,1
7962,20200214,1
7856,20200215,1
7943,20200216,1
7960,20200217,1
7961,20200218,1
7961,20200219,1
7961,20200220,1
7962,20200221,1
7856,20200222,1
7943,20200223,1
7960,20200224,1
7961,20200225,1
7961,20200226,1
7961,20200227,1
7962,20200228,1
7856,20200229,1
7943,20200301,1
7960,20200302,1
7961,20200303,1
7961,20200304,1
7961,20200305,1
7962,20200306,1
7856,20200307,1
7943,20200308,1
7960,20200309,1
7961,20200310,1
7961,20200311,1
7961,20200312,1
7962,20200313,1
7856,20200314,1
7943,20200315,1
7960,20200316,1
7961,20200317,1
7961,20200318,1
7961,20200319,1
7962,20200320,1
7856,20200321,1
7943,20200322,1
7960,20200323,1
7961,20200324,1
7961,20200325,1
7961,20200326,1
7962,20200327,1
7856,20200328,1
