from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,9467173,9467097,1,
124,124,,,9467174,9467098,1,
124,124,,,9467176,9467100,1,
124,124,,,9467178,9467104,1,
124,124,,,9467180,9467106,1,
124,124,,,9467181,9467108,1,
124,124,,,9467183,9467110,1,
124,124,,,9467184,9467112,1,
124,124,,,9467186,9467114,1,
124,124,,,9467188,9467116,1,
124,124,,,9467190,9467118,1,
124,124,,,9467192,9467120,1,
124,124,,,9467194,9467122,1,
124,124,,,9467196,9467124,1,
124,124,,,9467198,9467126,1,
124,124,,,9467200,9467128,1,
124,124,,,9467204,9467132,1,
124,124,,,9467208,9467136,1,
124,124,,,9467212,9467140,1,
124,124,,,9467214,9467142,1,
124,124,,,9467216,9467144,1,
124,124,,,9467218,9467146,1,
124,124,,,9467220,9467148,1,
124,124,,,9467224,9467152,1,
124,124,,,9467227,9467156,1,
124,124,,,9467230,9467160,1,
124,124,,,9467270,9467160,1,
124,124,,,9467233,9467162,1,
124,124,,,9467235,9467164,1,
124,124,,,9467237,9467166,1,
140,140,,,9467293,9467170,1,
124,124,,,9467240,9467176,1,
124,124,,,9467101,9467177,1,
124,124,,,9467242,9467178,1,
124,124,,,9467105,9467179,1,
124,124,,,9467244,9467181,1,
131,131,,,9467278,9467181,1,
140,140,,,9467291,9467181,1,
124,124,,,9467109,9467182,1,
124,124,,,9467246,9467184,1,
124,124,,,9467113,9467185,1,
124,124,,,9467248,9467188,1,
124,124,,,9467117,9467189,1,
124,124,,,9467250,9467192,1,
131,131,,,9467280,9467192,1,
140,140,,,9467293,9467192,1,
124,124,,,9467121,9467193,1,
124,124,,,9467252,9467196,1,
124,124,,,9467125,9467197,1,
124,124,,,9467254,9467200,1,
124,124,,,9467129,9467201,1,
124,124,,,9467131,9467203,1,
124,124,,,9467256,9467204,1,
131,131,,,9467282,9467204,1,
140,140,,,9467295,9467204,1,
124,124,,,9467133,9467205,1,
124,124,,,9467135,9467207,1,
124,124,,,9467258,9467208,1,
124,124,,,9467137,9467209,1,
124,124,,,9467139,9467211,1,
124,124,,,9467260,9467212,1,
124,124,,,9467141,9467213,1,
124,124,,,9467143,9467215,1,
124,124,,,9467262,9467216,1,
131,131,,,9467284,9467216,1,
140,140,,,9467297,9467216,1,
124,124,,,9467145,9467217,1,
124,124,,,9467147,9467219,1,
124,124,,,9467264,9467220,1,
124,124,,,9467149,9467221,1,
124,124,,,9467151,9467223,1,
124,124,,,9467266,9467224,1,
124,124,,,9467153,9467225,1,
124,124,,,9467155,9467226,1,
124,124,,,9467268,9467227,1,
131,131,,,9467285,9467227,1,
140,140,,,9467299,9467227,1,
124,124,,,9467157,9467228,1,
124,124,,,9467270,9467230,1,
124,124,,,9467161,9467231,1,
124,124,,,9467272,9467233,1,
124,124,,,9467163,9467234,1,
124,124,,,9467274,9467235,1,
140,140,,,9467301,9467235,1,
124,124,,,9467167,9467236,1,
131,131,,,9467288,9467236,1,
124,124,,,9467175,9467239,1,
124,124,,,9467177,9467241,1,
124,124,,,9467179,9467243,1,
124,124,,,9467182,9467245,1,
124,124,,,9467185,9467247,1,
124,124,,,9467189,9467249,1,
124,124,,,9467193,9467251,1,
124,124,,,9467197,9467253,1,
124,124,,,9467201,9467255,1,
124,124,,,9467205,9467257,1,
124,124,,,9467209,9467259,1,
124,124,,,9467213,9467261,1,
124,124,,,9467217,9467263,1,
124,124,,,9467221,9467265,1,
124,124,,,9467225,9467267,1,
124,124,,,9467228,9467269,1,
124,124,,,9467231,9467271,1,
124,124,,,9467237,9467275,1,
131,131,,,9467179,9467277,1,
131,131,,,9467189,9467279,1,
131,131,,,9467201,9467281,1,
131,131,,,9467213,9467283,1,
131,131,,,9467228,9467286,1,
140,140,,,9467177,9467290,1,
140,140,,,9467185,9467292,1,
140,140,,,9467197,9467294,1,
140,140,,,9467209,9467296,1,
140,140,,,9467213,9467298,1,
140,140,,,9467221,9467298,1,
140,140,,,9467231,9467300,1,
27,27,,,9467380,9467305,1,
33,33,,,9467380,9467305,1,
27,27,,,9467383,9467310,1,
33,33,,,9467383,9467310,1,
27,27,,,9467385,9467314,1,
33,33,,,9467385,9467314,1,
27,27,,,9467387,9467318,1,
33,33,,,9467387,9467318,1,
27,27,,,9467389,9467322,1,
33,33,,,9467389,9467322,1,
27,27,,,9467392,9467326,1,
33,33,,,9467392,9467326,1,
27,27,,,9467395,9467330,1,
33,33,,,9467395,9467330,1,
27,27,,,9467397,9467334,1,
33,33,,,9467397,9467334,1,
27,27,,,9467399,9467338,1,
33,33,,,9467399,9467338,1,
27,27,,,9467401,9467342,1,
33,33,,,9467401,9467342,1,
27,27,,,9467404,9467346,1,
33,33,,,9467404,9467346,1,
27,27,,,9467408,9467350,1,
33,33,,,9467408,9467350,1,
27,27,,,9467411,9467354,1,
33,33,,,9467411,9467354,1,
27,27,,,9467413,9467358,1,
33,33,,,9467413,9467358,1,
27,27,,,9467415,9467362,1,
33,33,,,9467415,9467362,1,
27,27,,,9467417,9467366,1,
33,33,,,9467417,9467366,1,
27,27,,,9467419,9467370,1,
33,33,,,9467419,9467370,1,
18,18,,,9467421,9467373,1,
27,27,,,9467421,9467373,1,
33,33,,,9467421,9467373,1,
33,33,,,9467304,9467379,1,
27,27,,,9467307,9467381,1,
33,33,,,9467307,9467381,1,
27,27,,,9467309,9467382,1,
33,33,,,9467309,9467382,1,
27,27,,,9467313,9467384,1,
33,33,,,9467313,9467384,1,
27,27,,,9467317,9467386,1,
33,33,,,9467317,9467386,1,
27,27,,,9467321,9467388,1,
33,33,,,9467321,9467388,1,
27,27,,,9467325,9467391,1,
33,33,,,9467325,9467391,1,
27,27,,,9467329,9467394,1,
33,33,,,9467329,9467394,1,
27,27,,,9467333,9467396,1,
33,33,,,9467333,9467396,1,
27,27,,,9467337,9467398,1,
33,33,,,9467337,9467398,1,
27,27,,,9467341,9467400,1,
33,33,,,9467341,9467400,1,
27,27,,,9467343,9467402,1,
33,33,,,9467343,9467402,1,
27,27,,,9467345,9467403,1,
33,33,,,9467345,9467403,1,
27,27,,,9467347,9467405,1,
33,33,,,9467347,9467405,1,
27,27,,,9467349,9467407,1,
33,33,,,9467349,9467407,1,
27,27,,,9467351,9467409,1,
33,33,,,9467351,9467409,1,
27,27,,,9467353,9467410,1,
33,33,,,9467353,9467410,1,
27,27,,,9467357,9467412,1,
33,33,,,9467357,9467412,1,
27,27,,,9467361,9467414,1,
33,33,,,9467361,9467414,1,
27,27,,,9467365,9467416,1,
33,33,,,9467365,9467416,1,
27,27,,,9467369,9467418,1,
33,33,,,9467369,9467418,1,
18,18,,,9467372,9467420,1,
27,27,,,9467372,9467420,1,
33,33,,,9467372,9467420,1,
33,33,,,9467373,9467422,1,
18,18,,,9467375,9467423,1,
27,27,,,9467375,9467423,1,
33,33,,,9467375,9467423,1,
33,33,,,9467376,9467424,1,
74,74,,,9467497,9467426,1,
74,74,,,9467499,9467428,1,
74,74,,,9467501,9467432,1,
74,74,,,9467503,9467436,1,
74,74,,,9467509,9467444,1,
74,74,,,9467511,9467446,1,
74,74,,,9467543,9467493,1,
94,94,,,9467549,9467501,1,
74,74,,,9467433,9467502,1,
94,94,,,9467548,9467502,1,
74,74,,,9467437,9467504,1,
94,94,,,9467551,9467506,1,
74,74,,,9467441,9467507,1,
94,94,,,9467550,9467507,1,
74,74,,,9467445,9467510,1,
94,94,,,9467553,9467512,1,
74,74,,,9467449,9467513,1,
94,94,,,9467552,9467513,1,
74,74,,,9467453,9467516,1,
74,74,,,9467457,9467518,1,
94,94,,,9467554,9467518,1,
74,74,,,9467461,9467520,1,
94,94,,,9467556,9467522,1,
74,74,,,9467494,9467544,1,
94,94,,,9467543,9467565,1,
124,124,,,9560756,9560692,1,
124,124,,,9560757,9560693,1,
124,124,,,9560759,9560695,1,
124,124,,,9560761,9560697,1,
124,124,,,9560763,9560699,1,
124,124,,,9560766,9560701,1,
124,124,,,9560769,9560703,1,
124,124,,,9560771,9560705,1,
124,124,,,9560773,9560707,1,
124,124,,,9560775,9560709,1,
124,124,,,9560777,9560711,1,
124,124,,,9560779,9560713,1,
124,124,,,9560781,9560715,1,
124,124,,,9560785,9560719,1,
124,124,,,9560789,9560723,1,
124,124,,,9560793,9560727,1,
124,124,,,9560795,9560729,1,
124,124,,,9560797,9560731,1,
124,124,,,9560799,9560733,1,
124,124,,,9560801,9560735,1,
124,124,,,9560805,9560739,1,
124,124,,,9560809,9560743,1,
124,124,,,9560812,9560745,1,
124,124,,,9560852,9560745,1,
124,124,,,9560815,9560747,1,
124,124,,,9560817,9560749,1,
124,124,,,9560819,9560750,1,
124,124,,,9560822,9560759,1,
124,124,,,9560696,9560760,1,
124,124,,,9560824,9560761,1,
124,124,,,9560698,9560762,1,
124,124,,,9560826,9560763,1,
131,131,,,9560860,9560763,1,
140,140,,,9561127,9560763,1,
124,124,,,9560700,9560764,1,
124,124,,,9560828,9560766,1,
124,124,,,9560702,9560767,1,
124,124,,,9560830,9560769,1,
124,124,,,9560704,9560770,1,
124,124,,,9560832,9560773,1,
131,131,,,9560862,9560773,1,
140,140,,,9561128,9560773,1,
124,124,,,9560708,9560774,1,
124,124,,,9560834,9560777,1,
124,124,,,9560712,9560778,1,
124,124,,,9560836,9560781,1,
124,124,,,9560716,9560782,1,
124,124,,,9560718,9560784,1,
124,124,,,9560838,9560785,1,
131,131,,,9560864,9560785,1,
140,140,,,9561129,9560785,1,
124,124,,,9560720,9560786,1,
124,124,,,9560722,9560788,1,
124,124,,,9560840,9560789,1,
124,124,,,9560724,9560790,1,
124,124,,,9560726,9560792,1,
124,124,,,9560842,9560793,1,
124,124,,,9560728,9560794,1,
124,124,,,9560730,9560796,1,
124,124,,,9560844,9560797,1,
131,131,,,9560866,9560797,1,
140,140,,,9561130,9560797,1,
124,124,,,9560732,9560798,1,
124,124,,,9560734,9560800,1,
124,124,,,9560846,9560801,1,
124,124,,,9560736,9560802,1,
124,124,,,9560738,9560804,1,
124,124,,,9560848,9560805,1,
124,124,,,9560740,9560806,1,
124,124,,,9560742,9560808,1,
124,124,,,9560850,9560809,1,
131,131,,,9560867,9560809,1,
140,140,,,9561131,9560809,1,
124,124,,,9560744,9560810,1,
124,124,,,9560852,9560812,1,
124,124,,,9560746,9560813,1,
124,124,,,9560854,9560815,1,
124,124,,,9560748,9560816,1,
124,124,,,9560856,9560817,1,
140,140,,,9561132,9560817,1,
124,124,,,9560751,9560818,1,
131,131,,,9560870,9560818,1,
124,124,,,9560758,9560821,1,
124,124,,,9560760,9560823,1,
124,124,,,9560762,9560825,1,
124,124,,,9560764,9560827,1,
124,124,,,9560767,9560829,1,
124,124,,,9560770,9560831,1,
124,124,,,9560774,9560833,1,
124,124,,,9560778,9560835,1,
124,124,,,9560782,9560837,1,
124,124,,,9560786,9560839,1,
124,124,,,9560790,9560841,1,
124,124,,,9560794,9560843,1,
124,124,,,9560798,9560845,1,
124,124,,,9560802,9560847,1,
124,124,,,9560806,9560849,1,
124,124,,,9560810,9560851,1,
124,124,,,9560813,9560853,1,
124,124,,,9560819,9560857,1,
131,131,,,9560762,9560859,1,
131,131,,,9560770,9560861,1,
131,131,,,9560782,9560863,1,
131,131,,,9560794,9560865,1,
131,131,,,9560810,9560868,1,
27,27,,,9560954,9560889,1,
33,33,,,9560954,9560889,1,
27,27,,,9560956,9560891,1,
33,33,,,9560956,9560891,1,
27,27,,,9560958,9560893,1,
33,33,,,9560958,9560893,1,
27,27,,,9560960,9560896,1,
33,33,,,9560960,9560896,1,
27,27,,,9560962,9560899,1,
33,33,,,9560962,9560899,1,
27,27,,,9560965,9560903,1,
33,33,,,9560965,9560903,1,
27,27,,,9560967,9560907,1,
33,33,,,9560967,9560907,1,
27,27,,,9560969,9560911,1,
33,33,,,9560969,9560911,1,
27,27,,,9560971,9560915,1,
33,33,,,9560971,9560915,1,
27,27,,,9560973,9560919,1,
33,33,,,9560973,9560919,1,
27,27,,,9560977,9560923,1,
33,33,,,9560977,9560923,1,
27,27,,,9560980,9560927,1,
33,33,,,9560980,9560927,1,
27,27,,,9560982,9560931,1,
33,33,,,9560982,9560931,1,
27,27,,,9560984,9560935,1,
33,33,,,9560984,9560935,1,
27,27,,,9560986,9560939,1,
33,33,,,9560986,9560939,1,
27,27,,,9560988,9560941,1,
33,33,,,9560988,9560941,1,
18,18,,,9560990,9560944,1,
27,27,,,9560990,9560944,1,
33,33,,,9560990,9560944,1,
33,33,,,9560885,9560950,1,
27,27,,,9560887,9560952,1,
33,33,,,9560887,9560952,1,
27,27,,,9560888,9560953,1,
33,33,,,9560888,9560953,1,
27,27,,,9560890,9560955,1,
33,33,,,9560890,9560955,1,
27,27,,,9560892,9560957,1,
33,33,,,9560892,9560957,1,
27,27,,,9560895,9560959,1,
33,33,,,9560895,9560959,1,
27,27,,,9560898,9560961,1,
33,33,,,9560898,9560961,1,
27,27,,,9560902,9560964,1,
33,33,,,9560902,9560964,1,
27,27,,,9560906,9560966,1,
33,33,,,9560906,9560966,1,
27,27,,,9560910,9560968,1,
33,33,,,9560910,9560968,1,
27,27,,,9560914,9560970,1,
33,33,,,9560914,9560970,1,
27,27,,,9560918,9560972,1,
33,33,,,9560918,9560972,1,
27,27,,,9560920,9560974,1,
33,33,,,9560920,9560974,1,
27,27,,,9560922,9560976,1,
33,33,,,9560922,9560976,1,
27,27,,,9560924,9560978,1,
33,33,,,9560924,9560978,1,
27,27,,,9560926,9560979,1,
33,33,,,9560926,9560979,1,
27,27,,,9560930,9560981,1,
33,33,,,9560930,9560981,1,
27,27,,,9560934,9560983,1,
33,33,,,9560934,9560983,1,
27,27,,,9560938,9560985,1,
33,33,,,9560938,9560985,1,
27,27,,,9560940,9560987,1,
33,33,,,9560940,9560987,1,
18,18,,,9560943,9560989,1,
27,27,,,9560943,9560989,1,
33,33,,,9560943,9560989,1,
33,33,,,9560944,9560991,1,
18,18,,,9560946,9560992,1,
27,27,,,9560946,9560992,1,
33,33,,,9560946,9560992,1,
33,33,,,9560947,9560993,1,
74,74,,,9561053,9560994,1,
74,74,,,9561055,9560995,1,
74,74,,,9561057,9560997,1,
74,74,,,9561059,9560999,1,
74,74,,,9561065,9561004,1,
74,74,,,9561098,9561048,1,
94,94,,,9561104,9561057,1,
74,74,,,9560998,9561058,1,
94,94,,,9561103,9561058,1,
74,74,,,9561000,9561060,1,
94,94,,,9561106,9561062,1,
74,74,,,9561002,9561063,1,
94,94,,,9561105,9561063,1,
74,74,,,9561005,9561066,1,
94,94,,,9561108,9561068,1,
74,74,,,9561008,9561069,1,
94,94,,,9561107,9561069,1,
74,74,,,9561012,9561072,1,
74,74,,,9561016,9561074,1,
94,94,,,9561109,9561074,1,
74,74,,,9561020,9561076,1,
94,94,,,9561111,9561078,1,
74,74,,,9561028,9561081,1,
74,74,,,9561049,9561099,1,
94,94,,,9561056,9561103,1,
94,94,,,9561066,9561107,1,
94,94,,,9561072,9561109,1,
94,94,,,9561076,9561111,1,
94,94,,,9561081,9561113,1,
94,94,,,9561087,9561115,1,
94,94,,,9561092,9561117,1,
94,94,,,9561098,9561120,1,
140,140,,,9560760,9561121,1,
140,140,,,9560767,9561122,1,
140,140,,,9560778,9561123,1,
140,140,,,9560790,9561124,1,
140,140,,,9560802,9561125,1,
140,140,,,9560813,9561126,1,
