route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,7856,9467093,Grand Central,6203,1,,5,1,0
3,7856,9467095,Stamford,6300,0,,16,1,0
3,7856,9467096,Grand Central,6301,1,,5,1,0
3,7856,9467097,Stamford,6302,0,,16,1,0
3,7856,9467098,Grand Central,6303,1,,5,1,0
3,7856,9467099,Stamford,6304,0,,16,1,0
3,7856,9467100,Grand Central,6305,1,,5,1,0
3,7856,9467101,Stamford,6306,0,,16,1,0
3,7856,9467102,Grand Central,6307,1,,5,1,0
3,7856,9467103,Stamford,6308,0,,16,1,0
3,7856,9467104,Grand Central,6309,1,,5,1,0
3,7856,9467105,Stamford,6310,0,,16,1,0
3,7856,9467106,Grand Central,6311,1,,5,1,0
3,7856,9467107,Stamford,6312,0,,16,1,0
3,7856,9467108,Grand Central,6313,1,,5,1,0
3,7856,9467109,Stamford,6314,0,,16,1,0
3,7856,9467110,Grand Central,6315,1,,5,1,0
3,7856,9467111,Stamford,6316,0,,16,1,0
3,7856,9467112,Grand Central,6317,1,,5,1,0
3,7856,9467113,Stamford,6318,0,,16,1,0
3,7856,9467114,Grand Central,6319,1,,5,1,0
3,7856,9467115,Stamford,6320,0,,16,1,0
3,7856,9467116,Grand Central,6321,1,,5,1,0
3,7856,9467117,Stamford,6322,0,,16,1,0
3,7856,9467118,Grand Central,6323,1,,5,1,0
3,7856,9467119,Stamford,6324,0,,16,1,0
3,7856,9467120,Grand Central,6325,1,,5,1,0
3,7856,9467121,Stamford,6326,0,,16,1,0
3,7856,9467122,Grand Central,6327,1,,5,1,0
3,7856,9467123,Stamford,6328,0,,16,1,0
3,7856,9467124,Grand Central,6329,1,,5,1,0
3,7856,9467125,Stamford,6330,0,,16,1,0
3,7856,9467126,Grand Central,6331,1,,5,1,0
3,7856,9467127,Stamford,6332,0,,16,1,0
3,7856,9467128,Grand Central,6333,1,,5,1,0
3,7856,9467129,Stamford,6334,0,,16,1,0
3,7856,9467130,Grand Central,6335,1,,5,1,0
3,7856,9467131,Stamford,6336,0,,16,1,0
3,7856,9467132,Grand Central,6337,1,,5,1,0
3,7856,9467133,Stamford,6338,0,,16,1,0
3,7856,9467134,Grand Central,6339,1,,5,1,0
3,7856,9467135,Stamford,6340,0,,16,1,0
3,7856,9467136,Grand Central,6341,1,,5,1,0
3,7856,9467137,Stamford,6342,0,,16,1,0
3,7856,9467138,Grand Central,6343,1,,5,1,0
3,7856,9467139,Stamford,6344,0,,16,1,0
3,7856,9467140,Grand Central,6345,1,,5,1,0
3,7856,9467141,Stamford,6346,0,,16,1,0
3,7856,9467142,Grand Central,6347,1,,5,1,0
3,7856,9467143,Stamford,6348,0,,16,1,0
3,7856,9467144,Grand Central,6349,1,,5,1,0
3,7856,9467145,Stamford,6350,0,,16,1,0
3,7856,9467146,Grand Central,6351,1,,5,1,0
3,7856,9467147,Stamford,6352,0,,16,1,0
3,7856,9467148,Grand Central,6353,1,,5,1,0
3,7856,9467149,Stamford,6354,0,,16,1,0
3,7856,9467150,Grand Central,6355,1,,5,1,0
3,7856,9467151,Stamford,6356,0,,16,1,0
3,7856,9467152,Grand Central,6357,1,,5,1,0
3,7856,9467153,Stamford,6358,0,,16,1,0
3,7856,9467154,Grand Central,6359,1,,5,1,0
3,7856,9467155,Stamford,6360,0,,16,1,0
3,7856,9467156,Grand Central,6361,1,,5,1,0
3,7856,9467157,Stamford,6362,0,,16,1,0
3,7856,9467158,Grand Central,6363,1,,5,1,0
3,7856,9467159,Stamford,6364,0,,16,1,0
3,7856,9467160,Grand Central,6365,1,,5,1,0
3,7856,9467161,Stamford,6366,0,,16,1,0
