service_id,date,exception_type
MQ_D9-Sunday,20190902,1
MQ_D9-Sunday,20191128,1
MQ_D9-Sunday,20191225,1
MQ_D9-Sunday,20200101,1
MQ_D9-Weekday-SDon,20191014,2
MQ_D9-Weekday-SDon,20191128,2
MQ_D9-Weekday-SDon,20191129,2
MQ_D9-Weekday-SDon,20191224,2
MQ_D9-Weekday-SDon,20191225,2
MQ_D9-Weekday-SDon,20191226,2
MQ_D9-Weekday-SDon,20191227,2
MQ_D9-Weekday-SDon,20191230,2
MQ_D9-Weekday-SDon,20191231,2
MQ_D9-Weekday-SDon,20200101,2
MQ_D9-Weekday-SDon,20190903,2
MQ_D9-Weekday-SDon,20190930,2
MQ_D9-Weekday-SDon,20191001,2
MQ_D9-Weekday-SDon,20191009,2
MQ_D9-Weekday-SDon,20191105,2
MQ_D9-Weekday-SDon,20191111,2
MQ_D9-Weekday,20190903,1
MQ_D9-Weekday,20190930,1
MQ_D9-Weekday,20191001,1
MQ_D9-Weekday,20191009,1
MQ_D9-Weekday,20191105,1
MQ_D9-Weekday,20191111,1
MQ_O9-Weekday,20191015,2
MQ_O9-Weekday,20191016,2
MQ_O9-Weekday,20191017,2
MQ_O9-Weekday,20191018,2
MQ_O9-Weekday,20191021,2
MQ_O9-Weekday,20191022,2
MQ_O9-Weekday,20191023,2
MQ_O9-Weekday,20191024,2
MQ_O9-Weekday,20191025,2
MQ_O9-Weekday,20191028,2
MQ_O9-Weekday,20191029,2
MQ_O9-Weekday,20191030,2
MQ_O9-Weekday,20191031,2
MQ_O9-Weekday,20191101,2
MQ_O9-Weekday,20191104,2
MQ_O9-Weekday,20191105,2
MQ_O9-Weekday,20191106,2
MQ_O9-Weekday,20191107,2
MQ_O9-Weekday,20191108,2
MQ_O9-Weekday,20191111,2
MQ_O9-Weekday,20191112,2
MQ_O9-Weekday,20191113,2
MQ_O9-Weekday,20191114,2
MQ_O9-Weekday,20191115,2
MQ_O9-Weekday,20191118,2
MQ_O9-Weekday,20191119,2
MQ_O9-Weekday,20191120,2
MQ_O9-Weekday,20191121,2
MQ_O9-Weekday,20191122,2
MQ_O9-Weekday,20191125,2
MQ_O9-Weekday,20191126,2
MQ_O9-Weekday,20191127,2
MQ_O9-Weekday,20191128,2
MQ_O9-Weekday,20191202,2
MQ_O9-Weekday,20191203,2
MQ_O9-Weekday,20191204,2
MQ_O9-Weekday,20191205,2
MQ_O9-Weekday,20191206,2
MQ_O9-Weekday,20191209,2
MQ_O9-Weekday,20191210,2
MQ_O9-Weekday,20191211,2
MQ_O9-Weekday,20191212,2
MQ_O9-Weekday,20191213,2
MQ_O9-Weekday,20191216,2
MQ_O9-Weekday,20191217,2
MQ_O9-Weekday,20191218,2
MQ_O9-Weekday,20191219,2
MQ_O9-Weekday,20191220,2
MQ_O9-Weekday,20191223,2
MQ_O9-Weekday,20191225,2
MV_D9-Sunday,20190902,1
MV_D9-Sunday,20191128,1
MV_D9-Sunday,20191225,1
MV_D9-Sunday,20200101,1
MV_D9-Weekday-SDon,20191014,2
MV_D9-Weekday-SDon,20191128,2
MV_D9-Weekday-SDon,20191129,2
MV_D9-Weekday-SDon,20191224,2
MV_D9-Weekday-SDon,20191225,2
MV_D9-Weekday-SDon,20191226,2
MV_D9-Weekday-SDon,20191227,2
MV_D9-Weekday-SDon,20191230,2
MV_D9-Weekday-SDon,20191231,2
MV_D9-Weekday-SDon,20200101,2
MV_D9-Weekday-SDon,20190903,2
MV_D9-Weekday-SDon,20190930,2
MV_D9-Weekday-SDon,20191001,2
MV_D9-Weekday-SDon,20191009,2
MV_D9-Weekday-SDon,20191105,2
MV_D9-Weekday-SDon,20191111,2
MV_D9-Weekday,20190903,1
MV_D9-Weekday,20190930,1
MV_D9-Weekday,20191001,1
MV_D9-Weekday,20191009,1
MV_D9-Weekday,20191105,1
MV_D9-Weekday,20191111,1
MV_O9-Weekday,20191015,2
MV_O9-Weekday,20191016,2
MV_O9-Weekday,20191017,2
MV_O9-Weekday,20191018,2
MV_O9-Weekday,20191021,2
MV_O9-Weekday,20191022,2
MV_O9-Weekday,20191023,2
MV_O9-Weekday,20191024,2
MV_O9-Weekday,20191025,2
MV_O9-Weekday,20191028,2
MV_O9-Weekday,20191029,2
MV_O9-Weekday,20191030,2
MV_O9-Weekday,20191031,2
MV_O9-Weekday,20191101,2
MV_O9-Weekday,20191104,2
MV_O9-Weekday,20191105,2
MV_O9-Weekday,20191106,2
MV_O9-Weekday,20191107,2
MV_O9-Weekday,20191108,2
MV_O9-Weekday,20191111,2
MV_O9-Weekday,20191112,2
MV_O9-Weekday,20191113,2
MV_O9-Weekday,20191114,2
MV_O9-Weekday,20191115,2
MV_O9-Weekday,20191118,2
MV_O9-Weekday,20191119,2
MV_O9-Weekday,20191120,2
MV_O9-Weekday,20191121,2
MV_O9-Weekday,20191122,2
MV_O9-Weekday,20191125,2
MV_O9-Weekday,20191126,2
MV_O9-Weekday,20191127,2
MV_O9-Weekday,20191128,2
MV_O9-Weekday,20191202,2
MV_O9-Weekday,20191203,2
MV_O9-Weekday,20191204,2
MV_O9-Weekday,20191205,2
MV_O9-Weekday,20191206,2
MV_O9-Weekday,20191209,2
MV_O9-Weekday,20191210,2
MV_O9-Weekday,20191211,2
MV_O9-Weekday,20191212,2
MV_O9-Weekday,20191213,2
MV_O9-Weekday,20191216,2
MV_O9-Weekday,20191217,2
MV_O9-Weekday,20191218,2
MV_O9-Weekday,20191219,2
MV_O9-Weekday,20191220,2
MV_O9-Weekday,20191223,2
MV_O9-Weekday,20191225,2
OF_D9-Sunday,20190902,1
OF_D9-Sunday,20191128,1
OF_D9-Sunday,20191225,1
OF_D9-Sunday,20200101,1
