service_id,date,exception_type
CS_D9-Sunday,20190902,1
CS_D9-Sunday-BM,20190901,1
CS_D9-Sunday,20191128,1
CS_D9-Sunday-BM,20191127,1
CS_D9-Sunday,20191225,1
CS_D9-Sunday-BM,20191224,1
CS_D9-Sunday,20200101,1
CS_D9-Sunday-BM,20191231,1
CS_D9-Weekday-SDon,20191014,2
CS_D9-Weekday-SDon-BM,20191013,2
CS_D9-Weekday-SDon,20191128,2
CS_D9-Weekday-SDon-BM,20191127,2
CS_D9-Weekday-SDon,20191129,2
CS_D9-Weekday-SDon-BM,20191128,2
CS_D9-Weekday-SDon,20191224,2
CS_D9-Weekday-SDon-BM,20191223,2
CS_D9-Weekday-SDon,20191225,2
CS_D9-Weekday-SDon-BM,20191224,2
CS_D9-Weekday-SDon,20191226,2
CS_D9-Weekday-SDon-BM,20191225,2
CS_D9-Weekday-SDon,20191227,2
CS_D9-Weekday-SDon-BM,20191226,2
CS_D9-Weekday-SDon,20191230,2
CS_D9-Weekday-SDon-BM,20191229,2
CS_D9-Weekday-SDon,20191231,2
CS_D9-Weekday-SDon-BM,20191230,2
CS_D9-Weekday-SDon,20200101,2
CS_D9-Weekday-SDon-BM,20191231,2
CS_D9-Weekday-SDon,20190903,2
CS_D9-Weekday-SDon-BM,20190902,2
CS_D9-Weekday-SDon,20190930,2
CS_D9-Weekday-SDon-BM,20190929,2
CS_D9-Weekday-SDon,20191001,2
CS_D9-Weekday-SDon-BM,20190930,2
CS_D9-Weekday-SDon,20191009,2
CS_D9-Weekday-SDon-BM,20191008,2
CS_D9-Weekday-SDon,20191105,2
CS_D9-Weekday-SDon-BM,20191104,2
CS_D9-Weekday-SDon,20191111,2
CS_D9-Weekday-SDon-BM,20191110,2
CS_D9-Weekday,20190903,1
CS_D9-Weekday-BM,20190902,1
CS_D9-Weekday,20190930,1
CS_D9-Weekday-BM,20190929,1
CS_D9-Weekday,20191001,1
CS_D9-Weekday-BM,20190930,1
CS_D9-Weekday,20191009,1
CS_D9-Weekday-BM,20191008,1
CS_D9-Weekday,20191105,1
CS_D9-Weekday-BM,20191104,1
CS_D9-Weekday,20191111,1
CS_D9-Weekday-BM,20191110,1
CS_O9-Weekday,20191015,2
CS_O9-Weekday-BM,20191014,2
CS_O9-Weekday,20191016,2
CS_O9-Weekday-BM,20191015,2
CS_O9-Weekday,20191017,2
CS_O9-Weekday-BM,20191016,2
CS_O9-Weekday,20191018,2
CS_O9-Weekday-BM,20191017,2
CS_O9-Weekday,20191021,2
CS_O9-Weekday-BM,20191020,2
CS_O9-Weekday,20191022,2
CS_O9-Weekday-BM,20191021,2
CS_O9-Weekday,20191023,2
CS_O9-Weekday-BM,20191022,2
CS_O9-Weekday,20191024,2
CS_O9-Weekday-BM,20191023,2
CS_O9-Weekday,20191025,2
CS_O9-Weekday-BM,20191024,2
CS_O9-Weekday,20191028,2
CS_O9-Weekday-BM,20191027,2
CS_O9-Weekday,20191029,2
CS_O9-Weekday-BM,20191028,2
CS_O9-Weekday,20191030,2
CS_O9-Weekday-BM,20191029,2
CS_O9-Weekday,20191031,2
CS_O9-Weekday-BM,20191030,2
CS_O9-Weekday,20191101,2
CS_O9-Weekday-BM,20191031,2
CS_O9-Weekday,20191104,2
CS_O9-Weekday-BM,20191103,2
CS_O9-Weekday,20191105,2
CS_O9-Weekday-BM,20191104,2
CS_O9-Weekday,20191106,2
CS_O9-Weekday-BM,20191105,2
CS_O9-Weekday,20191107,2
CS_O9-Weekday-BM,20191106,2
CS_O9-Weekday,20191108,2
CS_O9-Weekday-BM,20191107,2
CS_O9-Weekday,20191111,2
CS_O9-Weekday-BM,20191110,2
CS_O9-Weekday,20191112,2
CS_O9-Weekday-BM,20191111,2
CS_O9-Weekday,20191113,2
CS_O9-Weekday-BM,20191112,2
CS_O9-Weekday,20191114,2
CS_O9-Weekday-BM,20191113,2
CS_O9-Weekday,20191115,2
CS_O9-Weekday-BM,20191114,2
CS_O9-Weekday,20191118,2
CS_O9-Weekday-BM,20191117,2
CS_O9-Weekday,20191119,2
CS_O9-Weekday-BM,20191118,2
CS_O9-Weekday,20191120,2
CS_O9-Weekday-BM,20191119,2
CS_O9-Weekday,20191121,2
CS_O9-Weekday-BM,20191120,2
CS_O9-Weekday,20191122,2
CS_O9-Weekday-BM,20191121,2
CS_O9-Weekday,20191125,2
CS_O9-Weekday-BM,20191124,2
CS_O9-Weekday,20191126,2
CS_O9-Weekday-BM,20191125,2
CS_O9-Weekday,20191127,2
CS_O9-Weekday-BM,20191126,2
CS_O9-Weekday,20191128,2
CS_O9-Weekday-BM,20191127,2
CS_O9-Weekday,20191202,2
CS_O9-Weekday-BM,20191201,2
CS_O9-Weekday,20191203,2
CS_O9-Weekday-BM,20191202,2
CS_O9-Weekday,20191204,2
CS_O9-Weekday-BM,20191203,2
CS_O9-Weekday,20191205,2
CS_O9-Weekday-BM,20191204,2
CS_O9-Weekday,20191206,2
CS_O9-Weekday-BM,20191205,2
CS_O9-Weekday,20191209,2
CS_O9-Weekday-BM,20191208,2
CS_O9-Weekday,20191210,2
CS_O9-Weekday-BM,20191209,2
CS_O9-Weekday,20191211,2
CS_O9-Weekday-BM,20191210,2
CS_O9-Weekday,20191212,2
CS_O9-Weekday-BM,20191211,2
CS_O9-Weekday,20191213,2
CS_O9-Weekday-BM,20191212,2
CS_O9-Weekday,20191216,2
CS_O9-Weekday-BM,20191215,2
CS_O9-Weekday,20191217,2
CS_O9-Weekday-BM,20191216,2
CS_O9-Weekday,20191218,2
CS_O9-Weekday-BM,20191217,2
CS_O9-Weekday,20191219,2
CS_O9-Weekday-BM,20191218,2
CS_O9-Weekday,20191220,2
CS_O9-Weekday-BM,20191219,2
CS_O9-Weekday,20191223,2
CS_O9-Weekday-BM,20191222,2
CS_O9-Weekday,20191225,2
CS_O9-Weekday-BM,20191224,2
JA_D9-Sunday,20190902,1
JA_D9-Sunday,20191128,1
JA_D9-Sunday,20191225,1
JA_D9-Sunday,20200101,1
JA_D9-Weekday-SDon,20191014,2
JA_D9-Weekday-SDon,20191128,2
JA_D9-Weekday-SDon,20191129,2
JA_D9-Weekday-SDon,20191224,2
JA_D9-Weekday-SDon,20191225,2
JA_D9-Weekday-SDon,20191226,2
JA_D9-Weekday-SDon,20191227,2
JA_D9-Weekday-SDon,20191230,2
JA_D9-Weekday-SDon,20191231,2
JA_D9-Weekday-SDon,20200101,2
JA_D9-Weekday-SDon,20190903,2
JA_D9-Weekday-SDon,20190930,2
JA_D9-Weekday-SDon,20191001,2
JA_D9-Weekday-SDon,20191009,2
JA_D9-Weekday-SDon,20191105,2
JA_D9-Weekday-SDon,20191111,2
JA_D9-Weekday,20190903,1
JA_D9-Weekday,20190930,1
JA_D9-Weekday,20191001,1
JA_D9-Weekday,20191009,1
JA_D9-Weekday,20191105,1
JA_D9-Weekday,20191111,1
JA_O9-Weekday,20191015,2
JA_O9-Weekday,20191016,2
JA_O9-Weekday,20191017,2
JA_O9-Weekday,20191018,2
JA_O9-Weekday,20191021,2
JA_O9-Weekday,20191022,2
JA_O9-Weekday,20191023,2
JA_O9-Weekday,20191024,2
JA_O9-Weekday,20191025,2
JA_O9-Weekday,20191028,2
JA_O9-Weekday,20191029,2
JA_O9-Weekday,20191030,2
JA_O9-Weekday,20191031,2
JA_O9-Weekday,20191101,2
JA_O9-Weekday,20191104,2
JA_O9-Weekday,20191105,2
JA_O9-Weekday,20191106,2
JA_O9-Weekday,20191107,2
JA_O9-Weekday,20191108,2
JA_O9-Weekday,20191111,2
JA_O9-Weekday,20191112,2
JA_O9-Weekday,20191113,2
JA_O9-Weekday,20191114,2
JA_O9-Weekday,20191115,2
JA_O9-Weekday,20191118,2
JA_O9-Weekday,20191119,2
JA_O9-Weekday,20191120,2
JA_O9-Weekday,20191121,2
JA_O9-Weekday,20191122,2
JA_O9-Weekday,20191125,2
JA_O9-Weekday,20191126,2
JA_O9-Weekday,20191127,2
JA_O9-Weekday,20191128,2
JA_O9-Weekday,20191202,2
JA_O9-Weekday,20191203,2
JA_O9-Weekday,20191204,2
JA_O9-Weekday,20191205,2
JA_O9-Weekday,20191206,2
JA_O9-Weekday,20191209,2
JA_O9-Weekday,20191210,2
JA_O9-Weekday,20191211,2
JA_O9-Weekday,20191212,2
JA_O9-Weekday,20191213,2
JA_O9-Weekday,20191216,2
JA_O9-Weekday,20191217,2
JA_O9-Weekday,20191218,2
JA_O9-Weekday,20191219,2
