route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
SIM22,CA_S9-Weekday,CA_S9-Weekday-036000_MISC_430,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-096000_MISC_523,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-108000_MISC_546,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-042000_MISC_452,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-114000_MISC_497,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-030000_MISC_412,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-033000_SIM22_301,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-054000_MISC_482,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-051000_MISC_425,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-048000_MISC_475,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-090000_MISC_507,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-093000_SIM22_301,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-099000_MISC_530,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-111000_MISC_492,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-105000_MISC_541,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-102000_MISC_536,ELTINGVILLE via AR KILL RD via RICHMOND,1,SIM220033
SIM22,CA_S9-Weekday,CA_S9-Weekday-045000_MISC_465,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM22,CA_S9-Weekday,CA_S9-Weekday-039000_MISC_440,MIDTOWN via 42 ST via MADISON AV,0,SIM220039
SIM3C,CA_S9-Weekday,CA_S9-Weekday-088000_MISC_469,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-085000_SIM3_304,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-112000_SIM3_304,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-110000_MISC_479,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-118000_MISC_498,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-114000_MISC_548,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-116000_MISC_503,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-073000_MISC_451,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-067000_MISC_427,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-052000_SIM3_302,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-040000_SIM3_302,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-061000_MISC_421,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-070000_MISC_435,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-065000_SIM3_301,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-076000_SIM3_301,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-068000_SIM3_303,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-079000_SIM3_303,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
SIM3C,CA_S9-Weekday,CA_S9-Weekday-071000_MISC_471,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-074000_SIM3_304,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-086000_SIM3_305,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-089000_MISC_522,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-095000_SIM3_306,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-098000_MISC_479,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-104000_MISC_548,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-110000_MISC_532,MIDTOWN via CHURCH ST via 6 AV,0,SIM3C0037
SIM3C,CA_S9-Weekday,CA_S9-Weekday-120000_MISC_532,PT RCHMND via NARROWS RD N via WATCHOGUE,1,SIM3C0057
